Name,Reviews_Count,Followers,Rating,Review,Processed_Review,Sentiment,Issue_Category,Topic
Rishikesh Khedkar,0 reviews,0 Followers,1.0,Bad service,bad service,Negative,Service,Service
Kajal Jain,0 reviews,0 Followers,4.0,Great service and good,great service good,Positive,Service,Service
Naman Upadhyaya,0 reviews,24 Followers,5.0,"Asif shaikh- The best coffee shop in Mumbai with Polite and good staff ,serving food with complimentary banana chips and water.😍",asif best coffee shop mumbai polite good staff food complimentary banana chips,Positive,"Service, Food Quality",Location
Gauravchettiyar13@gmail.com,0 reviews,0 Followers,3.0,"The place is good but not great. The location is amazing, it’s right opposite to JWMarriot Juhu, which makes it perfect for a breezy evening.

Few things which we really loved was,
The idea of giving free water & chips… there is a story behind it and makes it an emotional touch.
The idea of coffee tasters, I guess it’s the first cafe I have been to which does that, really loved it.

Baked vadapav and the tiny butter croissant are must try.
Vietnamese frappe & Nariyal coffee frappe both were good but not great.
Other food items were also similar.

If you looking for breezy evening & hot coffee, please visit.",place good location right opposite jwmarriot makes perfect breezy things really loved idea giving free water story behind makes emotional idea coffee guess first cafe really loved baked vadapav tiny butter croissant must vietnamese frappe nariyal coffee frappe good food items also looking breezy evening hot please,Positive,"Food Quality, Location",Timing
KHILTI,0 reviews,1 Followers,4.0,"I visited a charming open café that offered both indoor ( less seats) and outdoor seating, creating a cozy yet refreshing vibe. What stood out the most was their thoughtful and generous service—I was welcomed with water in a canned bottle, complimentary banana chips, and later, a taster shot of the coffee I had ordered before the actual drink arrived. I absolutely loved this concept by the Ettara team, allowing a preview of the coffee experience. With its curated menu and warm atmosphere, this café is definitely going to be my new go-to spot!",visited charming open café offered indoor less outdoor creating cozy yet refreshing stood thoughtful generous welcomed water canned complimentary banana taster shot coffee ordered actual drink absolutely loved concept ettara allowing preview coffee curated menu warm café definitely going new,Positive,"Food Quality, Location",Timing
Aayush Jayswal,0 reviews,0 Followers,2.0,The coffees ordered were not good except the Caramel Frappe. But the banana chips on the side were excellent!!,coffees ordered good except caramel banana chips side,Positive,Food Quality,Location
410283,0 reviews,0 Followers,5.0,Amazing place. Must try the baked vada pav and filter coffee affogato.,amazing must try baked vada pav filter coffee,Positive,Food Quality,Food
Tanisha,0 reviews,0 Followers,3.0,Iced latte was very weak and milky but tasted good overall,iced latte weak milky tasted good overall,Positive,General,Location
Pooja Joshi,0 reviews,239 Followers,1.0,the cafe has outside seating and only 2 tables inside ..on a weekend there is waiting for a table ..I was sitting on a chair in a corner and the waiter very rudely asked me to get up n stand outside ..overpriced coffee which is mediocre in taste ..rude waiters with no manners,cafe outside seating tables inside weekend waiting table sitting chair corner waiter rudely asked get n stand outside coffee mediocre taste waiters manners,Negative,"Service, Food Quality, Timing",Service
Kirit Joshi,0 reviews,0 Followers,5.0,Nice restaurant and friendly staff and owner . more than value for money for products they serve to customers with atmost care and customised taste ...,nice restaurant friendly staff owner value money products serve customers atmost care customised taste,Positive,Service,Food
Mitesh Shah,0 reviews,1 Followers,5.0,"I had an absolutely amazing experience! The coffee was outstanding - rich, smooth, and full of flavor. The ambient was cozy and inviting, making it the perfect spot to relax and unwind. But what really made our visit stand out was the service the staff were friendly, attentive, and knowledgeable about their products.

But the best part of our experience was the fact that they offered us a taste before serving our drinks. This showed that they were truly committed to ensuring that we got the perfect cup of coffee, and it made all the difference. The attention to detail and care that they put into every aspect of our visit was impressive, and we left feeling thoroughly satisfied and...read more",absolutely amazing coffee outstanding full ambient cozy making perfect spot relax really made visit stand service staff knowledgeable best part experience fact offered us taste serving showed truly committed ensuring got perfect cup made attention detail care put every aspect visit left feeling thoroughly satisfied,Positive,"Service, Food Quality, Location",Food
Pinkesh Jain,0 reviews,0 Followers,5.0,Best coffee better den starbucks n nice services asif sir,best coffee better den starbucks n nice services asif sir,Positive,"Service, Food Quality",Food
Gaurav,0 reviews,0 Followers,5.0,"It was amazing! The vibe,the coffee! The raviollliiiii! Amazing! The service was good! They made us taste coffee before pouring it! Asi was an amazing guy! 10/10 will highly recommend!",service made us taste coffee pouring asi amazing highly,Positive,"Service, Food Quality",Service
Aritri Bhattacharyya,0 reviews,3 Followers,5.0,You get free banana chips!!! And the coffee was way too good than i expected. The packaging was impressive. Overall experience 11/10.,get free banana coffee way good packaging overall experience,Positive,Food Quality,Timing
Dishant Chavan,0 reviews,58 Followers,5.0,"Coffee was good, we tried the cake which was also excellent, service by Asif was 5 star, he was helpful with the options and always had smile on his face.",coffee tried cake also service asif helpful options always smile,Positive,"Service, Food Quality",Service
Lucky,0 reviews,0 Followers,3.0,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻,kareem kind efficient good really like attitude behaviour towards people serves,Positive,General,Timing
Name,Reviews Count,Followers,,Review Text,review text,Neutral,Location,Timing
Lucky,0 reviews,0 Followers,3.0,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻,kareem kind efficient good really like attitude behaviour towards people serves,Positive,General,Timing
Name,Reviews Count,Followers,,Review Text,review text,Neutral,Location,Timing
Lucky,0 reviews,0 Followers,3.0,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻,kareem kind efficient good really like attitude behaviour towards people serves,Positive,General,Timing
Name,Reviews Count,Followers,,Review Text,review text,Neutral,Location,Timing
Lucky,0 reviews,0 Followers,3.0,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻,kareem kind efficient good really like attitude behaviour towards people serves,Positive,General,Timing
Lucky,0 reviews,0 Followers,3.0,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻,kareem kind efficient good really like attitude behaviour towards people serves,Positive,General,Timing
Lucky,0 reviews,0 Followers,3.0,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻,kareem kind efficient good really like attitude behaviour towards people serves,Positive,General,Timing
Lucky,0 reviews,0 Followers,3.0,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻,kareem kind efficient good really like attitude behaviour towards people serves,Positive,General,Timing
Lucky,0 reviews,0 Followers,3.0,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻,kareem kind efficient good really like attitude behaviour towards people serves,Positive,General,Timing
Lucky,0 reviews,0 Followers,3.0,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻,kareem kind efficient good really like attitude behaviour towards people serves,Positive,General,Timing
Lucky,0 reviews,0 Followers,3.0,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻,kareem kind efficient good really like attitude behaviour towards people serves,Positive,General,Timing
Lucky,0 reviews,0 Followers,3.0,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻,kareem kind efficient good really like attitude behaviour towards people serves,Positive,General,Timing
Name,Reviews Count,Followers,,Review Text,review text,Neutral,Location,Timing
Lucky,0 reviews,0 Followers,3.0,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻,kareem kind efficient good really like attitude behaviour towards people serves,Positive,General,Timing
Dishti Patel,0 reviews,0 Followers,5.0,Asif shaikh provided excellent service. It felt like a 5 star hotel with the exceptional service and ambience. The baked vada pav was great and the coffee was excellent.,asif shaikh provided excellent felt like star hotel exceptional service baked vada pav great coffee,Positive,"Service, Food Quality",Food
Vikhyat Nanda,0 reviews,1 Followers,5.0,"One of the best coffee shops in Mumbai. Friendly staff, good coffee and cute ambience and superb location. It's a bit small but amazing nonetheless. Must visit.",one best coffee shops friendly good coffee cute ambience superb bit small amazing must,Positive,"Service, Food Quality, Location",Service
Vania Khatri,0 reviews,0 Followers,5.0,"It has a small cafe atmosphere. Which is literally the only thing I can say good about it.

Take 45 minutes for Filter coffee (for real)
The banana chips are a good touch
Don’t go there for the coffee or service or the food .

For a quick coffee and snack . Definitely avoid .",small cafe literally thing say good take minutes filter coffee banana chips good touch go coffee service food quick coffee snack definitely avoid,Positive,"Service, Food Quality, Timing",Service
Gunjan Singh,0 reviews,0 Followers,5.0,Asif has helped us alot and suggested good food,asif helped us alot suggested good food,Positive,Food Quality,Service
Tanvi Panpalia,0 reviews,0 Followers,4.0,the vada pav was not hot,vada pav hot,Positive,General,Food
Nandini Sharma,0 reviews,0 Followers,4.0,"This place has always been one of my favorite spots to chill, thanks to its amazing food and inviting ambiance. However, it has become quite crowded recently, and the waiting time has stretched to over 35 minutes. While most of the staff are friendly and accommodating, one particular staff member came across as a bit rude. Despite this, the food continues to be exceptional, making it a go-to destination for me.",place always one favorite spots thanks amazing food inviting become quite crowded waiting time stretched staff friendly one particular staff member came across bit despite food continues making destination,Positive,"Service, Food Quality, Timing, Location",Service
AD B,0 reviews,2 Followers,4.0,"Food and beverages and service is both exceptional and Consistant.
I prefer it to Starbucks and all other coffee chains I have visited.
Infact when I am in Juhu, this is the only place I visit. And when I am not in Juhu.. I Tey to swing by Juhu despite the terrible Juhu traffic.",food beverages service exceptional prefer starbucks coffee chains infact place tey swing juhu despite terrible juhu,Negative,"Service, Food Quality, Location",Service
Roselina Fernandes,0 reviews,1 Followers,4.0,"it's situated at a place for those who feel tired after a walk on the beach to have a sip of coffee and delighted chips from Kerala. The restaurant follows its tradition and the water they serve, don't forget to read its description.",situated place feel tired walk beach sip coffee delighted chips restaurant follows tradition water forget read,Positive,"Food Quality, Location",Food
Alfarid Mulla,0 reviews,18 Followers,4.0,"Everything about this cafe is good, their coffee and their dessert is something interesting and unique. Service is good, especially Asif, he is confident and kind.",everything cafe coffee dessert something interesting service especially confident,Positive,"Service, Food Quality",Service
Yayin Pathak,0 reviews,0 Followers,5.0,"Love the concept
Food menu is really interesting
Service by Asif was good",love concept food menu really interesting service asif good,Positive,"Service, Food Quality",Service
