Name,Reviews Count,Followers,Rating,Review Text
Lucky,0 reviews,0 Followers,3,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻
Rishikesh Khedkar,0 reviews,0 Followers,3,Bad service
Kajal Jain,0 reviews,0 Followers,3,Great service and good
Naman Upadhyaya,0 reviews,24 Followers,3,"Asif shaikh- The best coffee shop in Mumbai with Polite and good staff ,serving food with complimentary banana chips and water.😍"
Gauravchettiyar13@gmail.com,0 reviews,0 Followers,3,"The place is good but not great. The location is amazing, it’s right opposite to JWMarriot Juhu, which makes it perfect for a breezy evening.

Few things which we really loved was,
The idea of giving free water & chips… there is a story behind it and makes it an emotional touch.
The idea of coffee tasters, I guess it’s the first cafe I have been to which does that, really loved it.

Baked vadapav and the tiny butter croissant are must try.
Vietnamese frappe & Nariyal coffee frappe both were good but not great.
Other food items were also similar.

If you looking for breezy evening & hot coffee, please visit."
Name,Reviews Count,Followers,Rating,Review Text
Lucky,0 reviews,0 Followers,3,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻
Rishikesh Khedkar,0 reviews,0 Followers,3,Bad service
Kajal Jain,0 reviews,0 Followers,3,Great service and good
Naman Upadhyaya,0 reviews,24 Followers,3,"Asif shaikh- The best coffee shop in Mumbai with Polite and good staff ,serving food with complimentary banana chips and water.😍"
Gauravchettiyar13@gmail.com,0 reviews,0 Followers,3,"The place is good but not great. The location is amazing, it’s right opposite to JWMarriot Juhu, which makes it perfect for a breezy evening.

Few things which we really loved was,
The idea of giving free water & chips… there is a story behind it and makes it an emotional touch.
The idea of coffee tasters, I guess it’s the first cafe I have been to which does that, really loved it.

Baked vadapav and the tiny butter croissant are must try.
Vietnamese frappe & Nariyal coffee frappe both were good but not great.
Other food items were also similar.

If you looking for breezy evening & hot coffee, please visit."
Name,Reviews Count,Followers,Rating,Review Text
Lucky,0 reviews,0 Followers,3,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻
Rishikesh Khedkar,0 reviews,0 Followers,3,Bad service
Kajal Jain,0 reviews,0 Followers,3,Great service and good
Naman Upadhyaya,0 reviews,24 Followers,3,"Asif shaikh- The best coffee shop in Mumbai with Polite and good staff ,serving food with complimentary banana chips and water.😍"
Gauravchettiyar13@gmail.com,0 reviews,0 Followers,3,"The place is good but not great. The location is amazing, it’s right opposite to JWMarriot Juhu, which makes it perfect for a breezy evening.

Few things which we really loved was,
The idea of giving free water & chips… there is a story behind it and makes it an emotional touch.
The idea of coffee tasters, I guess it’s the first cafe I have been to which does that, really loved it.

Baked vadapav and the tiny butter croissant are must try.
Vietnamese frappe & Nariyal coffee frappe both were good but not great.
Other food items were also similar.

If you looking for breezy evening & hot coffee, please visit."
Name,Reviews Count,Followers,Rating,Review Text
Lucky,0 reviews,0 Followers,3,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻
Rishikesh Khedkar,0 reviews,0 Followers,3,Bad service
Kajal Jain,0 reviews,0 Followers,3,Great service and good
Naman Upadhyaya,0 reviews,24 Followers,3,"Asif shaikh- The best coffee shop in Mumbai with Polite and good staff ,serving food with complimentary banana chips and water.😍"
Gauravchettiyar13@gmail.com,0 reviews,0 Followers,3,"The place is good but not great. The location is amazing, it’s right opposite to JWMarriot Juhu, which makes it perfect for a breezy evening.

Few things which we really loved was,
The idea of giving free water & chips… there is a story behind it and makes it an emotional touch.
The idea of coffee tasters, I guess it’s the first cafe I have been to which does that, really loved it.

Baked vadapav and the tiny butter croissant are must try.
Vietnamese frappe & Nariyal coffee frappe both were good but not great.
Other food items were also similar.

If you looking for breezy evening & hot coffee, please visit."
KHILTI,0 reviews,1 Followers,3,"I visited a charming open café that offered both indoor ( less seats) and outdoor seating, creating a cozy yet refreshing vibe. What stood out the most was their thoughtful and generous service—I was welcomed with water in a canned bottle, complimentary banana chips, and later, a taster shot of the coffee I had ordered before the actual drink arrived. I absolutely loved this concept by the Ettara team, allowing a preview of the coffee experience. With its curated menu and warm atmosphere, this café is definitely going to be my new go-to spot!"
Aayush Jayswal,0 reviews,0 Followers,3,The coffees ordered were not good except the Caramel Frappe. But the banana chips on the side were excellent!!
410283,0 reviews,0 Followers,3,Amazing place. Must try the baked vada pav and filter coffee affogato.
Tanisha,0 reviews,0 Followers,3,Iced latte was very weak and milky but tasted good overall
Pooja Joshi,0 reviews,239 Followers,3,the cafe has outside seating and only 2 tables inside ..on a weekend there is waiting for a table ..I was sitting on a chair in a corner and the waiter very rudely asked me to get up n stand outside ..overpriced coffee which is mediocre in taste ..rude waiters with no manners
Lucky,0 reviews,0 Followers,3,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻
Rishikesh Khedkar,0 reviews,0 Followers,3,Bad service
Kajal Jain,0 reviews,0 Followers,3,Great service and good
Naman Upadhyaya,0 reviews,24 Followers,3,"Asif shaikh- The best coffee shop in Mumbai with Polite and good staff ,serving food with complimentary banana chips and water.😍"
Gauravchettiyar13@gmail.com,0 reviews,0 Followers,3,"The place is good but not great. The location is amazing, it’s right opposite to JWMarriot Juhu, which makes it perfect for a breezy evening.

Few things which we really loved was,
The idea of giving free water & chips… there is a story behind it and makes it an emotional touch.
The idea of coffee tasters, I guess it’s the first cafe I have been to which does that, really loved it.

Baked vadapav and the tiny butter croissant are must try.
Vietnamese frappe & Nariyal coffee frappe both were good but not great.
Other food items were also similar.

If you looking for breezy evening & hot coffee, please visit."
KHILTI,0 reviews,1 Followers,3,"I visited a charming open café that offered both indoor ( less seats) and outdoor seating, creating a cozy yet refreshing vibe. What stood out the most was their thoughtful and generous service—I was welcomed with water in a canned bottle, complimentary banana chips, and later, a taster shot of the coffee I had ordered before the actual drink arrived. I absolutely loved this concept by the Ettara team, allowing a preview of the coffee experience. With its curated menu and warm atmosphere, this café is definitely going to be my new go-to spot!"
Aayush Jayswal,0 reviews,0 Followers,3,The coffees ordered were not good except the Caramel Frappe. But the banana chips on the side were excellent!!
410283,0 reviews,0 Followers,3,Amazing place. Must try the baked vada pav and filter coffee affogato.
Tanisha,0 reviews,0 Followers,3,Iced latte was very weak and milky but tasted good overall
Pooja Joshi,0 reviews,239 Followers,3,the cafe has outside seating and only 2 tables inside ..on a weekend there is waiting for a table ..I was sitting on a chair in a corner and the waiter very rudely asked me to get up n stand outside ..overpriced coffee which is mediocre in taste ..rude waiters with no manners
Lucky,0 reviews,0 Followers,3,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻
Rishikesh Khedkar,0 reviews,0 Followers,3,Bad service
Kajal Jain,0 reviews,0 Followers,3,Great service and good
Naman Upadhyaya,0 reviews,24 Followers,3,"Asif shaikh- The best coffee shop in Mumbai with Polite and good staff ,serving food with complimentary banana chips and water.😍"
Gauravchettiyar13@gmail.com,0 reviews,0 Followers,3,"The place is good but not great. The location is amazing, it’s right opposite to JWMarriot Juhu, which makes it perfect for a breezy evening.

Few things which we really loved was,
The idea of giving free water & chips… there is a story behind it and makes it an emotional touch.
The idea of coffee tasters, I guess it’s the first cafe I have been to which does that, really loved it.

Baked vadapav and the tiny butter croissant are must try.
Vietnamese frappe & Nariyal coffee frappe both were good but not great.
Other food items were also similar.

If you looking for breezy evening & hot coffee, please visit."
KHILTI,0 reviews,1 Followers,3,"I visited a charming open café that offered both indoor ( less seats) and outdoor seating, creating a cozy yet refreshing vibe. What stood out the most was their thoughtful and generous service—I was welcomed with water in a canned bottle, complimentary banana chips, and later, a taster shot of the coffee I had ordered before the actual drink arrived. I absolutely loved this concept by the Ettara team, allowing a preview of the coffee experience. With its curated menu and warm atmosphere, this café is definitely going to be my new go-to spot!"
Aayush Jayswal,0 reviews,0 Followers,3,The coffees ordered were not good except the Caramel Frappe. But the banana chips on the side were excellent!!
410283,0 reviews,0 Followers,3,Amazing place. Must try the baked vada pav and filter coffee affogato.
Tanisha,0 reviews,0 Followers,3,Iced latte was very weak and milky but tasted good overall
Pooja Joshi,0 reviews,239 Followers,3,the cafe has outside seating and only 2 tables inside ..on a weekend there is waiting for a table ..I was sitting on a chair in a corner and the waiter very rudely asked me to get up n stand outside ..overpriced coffee which is mediocre in taste ..rude waiters with no manners
Lucky,0 reviews,0 Followers,3,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻
Rishikesh Khedkar,0 reviews,0 Followers,3,Bad service
Kajal Jain,0 reviews,0 Followers,3,Great service and good
Naman Upadhyaya,0 reviews,24 Followers,3,"Asif shaikh- The best coffee shop in Mumbai with Polite and good staff ,serving food with complimentary banana chips and water.😍"
Gauravchettiyar13@gmail.com,0 reviews,0 Followers,3,"The place is good but not great. The location is amazing, it’s right opposite to JWMarriot Juhu, which makes it perfect for a breezy evening.

Few things which we really loved was,
The idea of giving free water & chips… there is a story behind it and makes it an emotional touch.
The idea of coffee tasters, I guess it’s the first cafe I have been to which does that, really loved it.

Baked vadapav and the tiny butter croissant are must try.
Vietnamese frappe & Nariyal coffee frappe both were good but not great.
Other food items were also similar.

If you looking for breezy evening & hot coffee, please visit."
KHILTI,0 reviews,1 Followers,3,"I visited a charming open café that offered both indoor ( less seats) and outdoor seating, creating a cozy yet refreshing vibe. What stood out the most was their thoughtful and generous service—I was welcomed with water in a canned bottle, complimentary banana chips, and later, a taster shot of the coffee I had ordered before the actual drink arrived. I absolutely loved this concept by the Ettara team, allowing a preview of the coffee experience. With its curated menu and warm atmosphere, this café is definitely going to be my new go-to spot!"
Aayush Jayswal,0 reviews,0 Followers,3,The coffees ordered were not good except the Caramel Frappe. But the banana chips on the side were excellent!!
410283,0 reviews,0 Followers,3,Amazing place. Must try the baked vada pav and filter coffee affogato.
Tanisha,0 reviews,0 Followers,3,Iced latte was very weak and milky but tasted good overall
Pooja Joshi,0 reviews,239 Followers,3,the cafe has outside seating and only 2 tables inside ..on a weekend there is waiting for a table ..I was sitting on a chair in a corner and the waiter very rudely asked me to get up n stand outside ..overpriced coffee which is mediocre in taste ..rude waiters with no manners
Lucky,0 reviews,0 Followers,3,Kareem is very kind efficient and good in his work! i really like his attitude and behaviour towards the people he serves 🧿✨🪬🌞👌🏻
Rishikesh Khedkar,0 reviews,0 Followers,3,Bad service
